date,next_date,crop,district,apmc,modal_price_kg,min_price_kg,max_price_kg,spread,arrival_mt,lag_1_modal,lag_2_modal,rolling_3_modal,momentum,arrival_shock,month_sin,month_cos,target_next_modal_kg
2014-09,2015-04,Bajra,Beed,Kada (Ashti),12.55,12.5,13.65,0.0916,0.6,12.55,12.55,12.55,0.0,1.0,-1.0,-0.0,12.5
2014-09,2014-10,Bajra,Osmanabad,Kalamb (Os),12.38,11.61,12.65,0.084,4.6,12.38,12.38,12.38,0.0,1.0,-1.0,-0.0,13.74
2014-09,2014-10,Bajra,Aurangabad,Kannad,13.07,12.45,13.95,0.1148,77.1,13.07,13.07,13.07,0.0,1.0,-1.0,-0.0,13.06
2014-09,2014-10,Bajra,Beed,Kej,13.59,13.42,14.92,0.1104,3.5,13.59,13.59,13.59,0.0,1.0,-1.0,-0.0,14.48
2014-09,2014-10,Bajra,Buldhana,Khamgaon,12.0,12.0,12.0,0.0,0.6,12.0,12.0,12.0,0.0,1.0,-1.0,-0.0,13.3
2014-09,2014-10,Bajra,Beed,Kille Dharur,15.16,13.89,16.87,0.1966,12.1,15.16,15.16,15.16,0.0,1.0,-1.0,-0.0,16.09
2014-09,2014-10,Bajra,Kolhapur,Kolhapur-Laxmipuri,16.83,16.2,17.53,0.079,12.6,16.83,16.83,16.83,0.0,1.0,-1.0,-0.0,18.0
2014-09,2014-10,Bajra,Ahmadnagar,Kopargaon,13.83,12.2,14.72,0.1822,46.6,13.83,13.83,13.83,0.0,1.0,-1.0,-0.0,13.63
2014-09,2014-10,Bajra,Solapur,Kurdwadi,15.0,15.0,15.0,0.0,0.3,15.0,15.0,15.0,0.0,1.0,-1.0,-0.0,15.41
2014-09,2014-10,Bajra,Nasik,Lasalgaon,14.62,12.89,16.15,0.223,38.8,14.62,14.62,14.62,0.0,1.0,-1.0,-0.0,13.79
2014-09,2014-10,Bajra,Aurangabad,Lasur Station,13.38,11.61,14.74,0.2339,532.9,13.38,13.38,13.38,0.0,1.0,-1.0,-0.0,14.29
2014-09,2014-11,Bajra,Latur,Latur,12.0,10.17,13.17,0.25,14.7,12.0,12.0,12.0,0.0,1.0,-1.0,-0.0,13.57
2014-09,2014-10,Bajra,Satara,Lonand,15.5,12.9,17.46,0.2942,16.6,15.5,15.5,15.5,0.0,1.0,-1.0,-0.0,14.38
2014-09,2014-10,Bajra,Beed,Majalgaon,13.15,11.07,15.59,0.3437,40.2,13.15,13.15,13.15,0.0,1.0,-1.0,-0.0,14.81
2014-09,2014-10,Bajra,Nasik,Malegaon,14.39,12.53,15.89,0.2335,493.4,14.39,14.39,14.39,0.0,1.0,-1.0,-0.0,14.19
2014-09,2014-10,Bajra,Buldhana,Malkapur,15.0,15.0,15.0,0.0,0.1,15.0,15.0,15.0,0.0,1.0,-1.0,-0.0,12.55
2014-09,2014-10,Bajra,Solapur,Mangalwedha,13.28,13.23,13.62,0.0294,1.2,13.28,13.28,13.28,0.0,1.0,-1.0,-0.0,15.19
2014-09,2014-10,Bajra,Nasik,Manmad,15.01,13.11,15.73,0.1746,70.4,15.01,15.01,15.01,0.0,1.0,-1.0,-0.0,14.32
2014-09,2014-10,Bajra,Osmanabad,Murum,12.5,12.5,12.5,0.0,0.2,12.5,12.5,12.5,0.0,1.0,-1.0,-0.0,14.32
2014-09,2014-10,Bajra,Nasik,Nandgaon,14.81,12.34,16.1,0.2539,140.2,14.81,14.81,14.81,0.0,1.0,-1.0,-0.0,13.62
2014-09,2014-10,Bajra,Nandurbar,Nandurbar,12.75,11.25,13.84,0.2031,69.7,12.75,12.75,12.75,0.0,1.0,-1.0,-0.0,13.28
2014-09,2014-10,Bajra,Ahmadnagar,Newasa,13.1,12.98,13.25,0.0206,3.7,13.1,13.1,13.1,0.0,1.0,-1.0,-0.0,13.3
2014-09,2014-10,Bajra,Beed,Parli-Vaijnath,14.53,13.91,14.53,0.0427,3.0,14.53,14.53,14.53,0.0,1.0,-1.0,-0.0,16.61
2014-09,2014-10,Bajra,Ahmadnagar,Pathardi,13.19,12.54,14.29,0.1327,44.3,13.19,13.19,13.19,0.0,1.0,-1.0,-0.0,14.29
2014-09,2014-10,Bajra,Satara,Phaltan,15.83,13.33,17.84,0.2849,32.7,15.83,15.83,15.83,0.0,1.0,-1.0,-0.0,15.5
2014-09,2014-10,Bajra,Pune,Pune,19.32,18.15,20.53,0.1232,50.1,19.32,19.32,19.32,0.0,1.0,-1.0,-0.0,26.69
2014-09,2014-10,Bajra,Ahmadnagar,Rahata,13.97,13.85,14.21,0.0258,4.6,13.97,13.97,13.97,0.0,1.0,-1.0,-0.0,13.95
2014-09,2014-10,Bajra,Ahmadnagar,Rahuri,13.69,13.51,13.85,0.0248,7.5,13.69,13.69,13.69,0.0,1.0,-1.0,-0.0,13.67
2014-09,2014-10,Bajra,Ahmadnagar,Rahuri-Vambori,14.82,12.62,16.11,0.2355,43.4,14.82,14.82,14.82,0.0,1.0,-1.0,-0.0,14.93
2014-09,2014-11,Bajra,Jalgaon,Raver,15.75,15.75,15.75,0.0,0.1,15.75,15.75,15.75,0.0,1.0,-1.0,-0.0,12.38
2014-09,2014-10,Bajra,Dhule,Sakri,10.39,10.36,10.45,0.0087,302.2,10.39,10.39,10.39,0.0,1.0,-1.0,-0.0,11.55
2014-09,2014-10,Bajra,Sangli,Sangali,15.57,13.21,17.93,0.3031,242.2,15.57,15.57,15.57,0.0,1.0,-1.0,-0.0,15.55
2014-09,2014-10,Bajra,Ahmadnagar,Sangamner,14.69,13.5,16.13,0.179,20.0,14.69,14.69,14.69,0.0,1.0,-1.0,-0.0,14.13
2014-09,2014-10,Bajra,Nasik,Satana,14.21,12.74,15.15,0.1696,72.3,14.21,14.21,14.21,0.0,1.0,-1.0,-0.0,14.14
2014-09,2014-10,Bajra,Nandurbar,Shahada,13.36,13.13,13.81,0.0509,9.6,13.36,13.36,13.36,0.0,1.0,-1.0,-0.0,12.22
2014-09,2014-10,Bajra,Ahmadnagar,Shevgaon,12.17,10.68,12.68,0.1643,91.8,12.17,12.17,12.17,0.0,1.0,-1.0,-0.0,12.71
2014-09,2014-10,Bajra,Ahmadnagar,Shevgaon-Bodhegaon,12.16,11.88,12.8,0.0757,60.9,12.16,12.16,12.16,0.0,1.0,-1.0,-0.0,12.37
2014-09,2014-10,Bajra,Dhule,Shirpur,13.43,10.02,14.15,0.3075,60.9,13.43,13.43,13.43,0.0,1.0,-1.0,-0.0,12.96
2014-09,2014-10,Bajra,Pune,Shirur,14.36,13.86,14.77,0.0634,12.8,14.36,14.36,14.36,0.0,1.0,-1.0,-0.0,13.9
2014-09,2014-10,Bajra,Ahmadnagar,Shrirampur,14.47,13.4,15.2,0.1244,29.8,14.47,14.47,14.47,0.0,1.0,-1.0,-0.0,13.78
2014-09,2014-10,Bajra,Nasik,Sinner,13.46,11.37,14.93,0.2645,88.9,13.46,13.46,13.46,0.0,1.0,-1.0,-0.0,12.52
2014-09,2014-10,Bajra,Solapur,Solapur,14.0,14.0,14.25,0.0179,2.3,14.0,14.0,14.0,0.0,1.0,-1.0,-0.0,13.13
2014-09,2014-10,Bajra,Osmanabad,Umarga,10.65,10.65,10.75,0.0094,0.7,10.65,10.65,10.65,0.0,1.0,-1.0,-0.0,12.28
2014-09,2014-10,Bajra,Satara,Vaduj,14.75,14.0,15.63,0.1105,9.6,14.75,14.75,14.75,0.0,1.0,-1.0,-0.0,14.34
2014-09,2014-10,Bajra,Aurangabad,Vaijapur,14.31,12.75,15.32,0.1796,38.5,14.31,14.31,14.31,0.0,1.0,-1.0,-0.0,13.38
2014-09,2014-10,Bajra,Nasik,Yeola,13.53,12.72,14.43,0.1264,43.7,13.53,13.53,13.53,0.0,1.0,-1.0,-0.0,13.14
2014-09,2014-10,Cotton,Sangli,Atpadi,43.67,41.0,46.33,0.1221,10.9,43.67,43.67,43.67,0.0,1.0,-1.0,-0.0,45.0
2014-09,2014-10,Jowar,Gadchiroli,Aheri,10.0,10.0,10.0,0.0,1.0,10.0,10.0,10.0,0.0,1.0,-1.0,-0.0,12.0
2014-09,2014-11,Jowar,Ahmadnagar,Ahmednagar,21.0,16.0,26.01,0.4767,4.2,21.0,21.0,21.0,0.0,1.0,-1.0,-0.0,22.48
2014-09,2014-10,Jowar,Hingoli,Akhadabalapur,15.5,15.0,16.0,0.0645,3.9,15.5,15.5,15.5,0.0,1.0,-1.0,-0.0,15.25
2014-09,2014-10,Jowar,Solapur,Akluj,16.38,15.88,18.5,0.16,1.7,16.38,16.38,16.38,0.0,1.0,-1.0,-0.0,24.0
2014-09,2014-10,Jowar,Jalgaon,Amalner,14.52,13.43,15.61,0.1501,91.5,14.52,14.52,14.52,0.0,1.0,-1.0,-0.0,14.43
2014-09,2014-11,Jowar,Amaravathi,Amarawati,16.13,14.75,17.88,0.194,1.6,16.13,16.13,16.13,0.0,1.0,-1.0,-0.0,16.5
2014-09,2014-10,Jowar,Beed,Ambejogai,16.82,15.07,19.17,0.2438,12.3,16.82,16.82,16.82,0.0,1.0,-1.0,-0.0,18.49
2014-09,2014-10,Jowar,Amaravathi,Anajngaon Surji,14.37,13.27,15.31,0.142,13.2,14.37,14.37,14.37,0.0,1.0,-1.0,-0.0,14.04
2014-09,2014-10,Jowar,Sangli,Atpadi,19.0,17.0,21.0,0.2105,26.8,19.0,19.0,19.0,0.0,1.0,-1.0,-0.0,18.75
2014-09,2014-10,Jowar,Latur,Ausa,13.72,12.77,15.14,0.1727,93.4,13.72,13.72,13.72,0.0,1.0,-1.0,-0.0,13.39
2014-09,2014-10,Jowar,Pune,Baramati,20.88,18.0,23.9,0.2826,114.6,20.88,20.88,20.88,0.0,1.0,-1.0,-0.0,24.0
2014-09,2014-10,Jowar,Solapur,Barshi,18.86,13.58,25.82,0.649,1727.2,18.86,18.86,18.86,0.0,1.0,-1.0,-0.0,18.14
2014-09,2014-10,Jowar,Solapur,Barshi-Vairag,17.26,11.63,20.61,0.5203,167.8,17.26,17.26,17.26,0.0,1.0,-1.0,-0.0,17.8
2014-09,2015-09,Jowar,Hingoli,Basmat,15.0,15.0,15.0,0.0,0.5,15.0,15.0,15.0,0.0,1.0,-1.0,-0.0,11.65
2014-09,2014-10,Jowar,Beed,Beed,20.58,16.91,22.7,0.2813,185.3,20.58,20.58,20.58,0.0,1.0,-1.0,-0.0,20.51
2014-09,2014-10,Jowar,Nanded,Bhokar,14.6,12.68,15.72,0.2082,71.9,14.6,14.6,14.6,0.0,1.0,-1.0,-0.0,13.85
2014-09,2014-10,Jowar,Jalna,Bhokardan,12.26,12.19,12.37,0.0147,28.1,12.26,12.26,12.26,0.0,1.0,-1.0,-0.0,12.33
2014-09,2014-10,Jowar,Jalna,Bhokardan-Pimpalgaon Renu,12.38,12.3,12.46,0.0129,7.5,12.38,12.38,12.38,0.0,1.0,-1.0,-0.0,12.56
2014-09,2014-10,Jowar,Jalgaon,Bhusaval,11.27,10.88,11.48,0.0532,10.3,11.27,11.27,11.27,0.0,1.0,-1.0,-0.0,10.57
2014-09,2014-10,Jowar,Jalgaon,Chalisgaon,14.02,11.4,14.86,0.2468,202.2,14.02,14.02,14.02,0.0,1.0,-1.0,-0.0,14.0
2014-09,2014-11,Jowar,Buldhana,Chikhali,13.7,12.84,14.55,0.1248,46.4,13.7,13.7,13.7,0.0,1.0,-1.0,-0.0,11.18
2014-09,2014-10,Jowar,Jalgaon,Chopda,15.7,13.82,16.29,0.1573,20.0,15.7,15.7,15.7,0.0,1.0,-1.0,-0.0,14.79
2014-09,2014-10,Jowar,Nasik,Devala,24.94,22.97,25.29,0.093,1.4,24.94,24.94,24.94,0.0,1.0,-1.0,-0.0,25.05
2014-09,2014-10,Jowar,Dhule,Dhule,16.6,14.33,18.01,0.2217,220.0,16.6,16.6,16.6,0.0,1.0,-1.0,-0.0,16.95
2014-09,2014-10,Jowar,Dhule,Dondaicha,16.78,14.74,17.66,0.174,35.5,16.78,16.78,16.78,0.0,1.0,-1.0,-0.0,16.76
2014-09,2014-10,Jowar,Solapur,Dudhani,14.19,12.28,17.87,0.3939,286.1,14.19,14.19,14.19,0.0,1.0,-1.0,-0.0,11.61
2014-09,2014-10,Jowar,Aurangabad,Gangapur,16.14,14.2,18.06,0.2392,56.2,16.14,16.14,16.14,0.0,1.0,-1.0,-0.0,14.93
2014-09,2014-10,Jowar,Beed,Gevrai,16.62,14.6,20.26,0.3406,244.0,16.62,16.62,16.62,0.0,1.0,-1.0,-0.0,17.25
2014-09,2015-06,Jowar,Jalna,Ghansawangi,12.75,11.0,15.0,0.3137,9.8,12.75,12.75,12.75,0.0,1.0,-1.0,-0.0,14.5
2014-09,2014-10,Jowar,Nanded,Hadgaon,16.0,16.0,17.67,0.1044,4.7,16.0,16.0,16.0,0.0,1.0,-1.0,-0.0,15.0
2014-09,2014-10,Jowar,Jalgaon,Jalgaon,15.48,15.04,15.92,0.0568,97.2,15.48,15.48,15.48,0.0,1.0,-1.0,-0.0,13.45
2014-09,2014-10,Jowar,Buldhana,Jalgaon Jamod,11.5,11.25,11.75,0.0435,0.4,11.5,11.5,11.5,0.0,1.0,-1.0,-0.0,10.5
2014-09,2014-10,Jowar,Buldhana,Jalgaon Jamod-Aasalgaon,11.38,10.92,11.83,0.08,15.5,11.38,11.38,11.38,0.0,1.0,-1.0,-0.0,10.88
2014-09,2014-10,Jowar,Jalna,Jalna,18.27,11.47,26.1,0.8008,2647.1,18.27,18.27,18.27,0.0,1.0,-1.0,-0.0,18.6
2014-09,2014-10,Jowar,Ahmadnagar,Jamkhed,24.64,18.67,30.62,0.485,1228.8,24.64,24.64,24.64,0.0,1.0,-1.0,-0.0,23.49
2014-09,2014-10,Jowar,Parbhani,Jintur,13.38,11.53,16.44,0.367,69.1,13.38,13.38,13.38,0.0,1.0,-1.0,-0.0,13.27
2014-09,2014-10,Jowar,Parbhani,Jintur-Bori,12.05,11.87,12.34,0.039,3.6,12.05,12.05,12.05,0.0,1.0,-1.0,-0.0,11.55
2014-09,2014-10,Jowar,Beed,Kada,22.23,15.36,27.61,0.5511,146.2,22.23,22.23,22.23,0.0,1.0,-1.0,-0.0,24.05
2014-09,2015-04,Jowar,Beed,Kada (Ashti),24.33,21.67,27.33,0.2326,17.6,24.33,24.33,24.33,0.0,1.0,-1.0,-0.0,20.0
2014-09,2014-10,Jowar,Osmanabad,Kalamb (Os),16.37,14.23,18.5,0.2608,484.4,16.37,16.37,16.37,0.0,1.0,-1.0,-0.0,14.61
2014-09,2014-10,Jowar,Aurangabad,Kannad,14.68,13.51,15.4,0.1287,6.2,14.68,14.68,14.68,0.0,1.0,-1.0,-0.0,13.74
2014-09,2014-10,Jowar,Wasim,Karanja,16.19,15.12,16.19,0.0661,10.9,16.19,16.19,16.19,0.0,1.0,-1.0,-0.0,14.45
2014-09,2014-11,Jowar,Solapur,Karmala,26.0,16.23,32.22,0.615,487.0,26.0,26.0,26.0,0.0,1.0,-1.0,-0.0,27.33
2014-09,2014-10,Jowar,Beed,Kej,17.9,17.09,19.14,0.1145,28.4,17.9,17.9,17.9,0.0,1.0,-1.0,-0.0,16.87
2014-09,2014-10,Jowar,Buldhana,Khamgaon,11.74,11.17,12.32,0.098,129.2,11.74,11.74,11.74,0.0,1.0,-1.0,-0.0,11.09
2014-09,2014-10,Jowar,Beed,Kille Dharur,17.45,15.66,20.15,0.2573,43.5,17.45,17.45,17.45,0.0,1.0,-1.0,-0.0,16.34
2014-09,2014-10,Jowar,Kolhapur,Kolhapur-Laxmipuri,22.25,16.25,38.44,0.9973,171.0,22.25,22.25,22.25,0.0,1.0,-1.0,-0.0,23.0
2014-09,2014-10,Jowar,Ahmadnagar,Kopargaon,14.16,13.96,14.16,0.0141,3.8,14.16,14.16,14.16,0.0,1.0,-1.0,-0.0,14.0
2014-09,2014-10,Jowar,Satara,Koregaon,17.19,16.0,18.38,0.1385,3.1,17.19,17.19,17.19,0.0,1.0,-1.0,-0.0,16.0
2014-09,2014-10,Jowar,Solapur,Kurdwadi,19.81,13.53,26.1,0.6345,45.4,19.81,19.81,19.81,0.0,1.0,-1.0,-0.0,17.79
2014-09,2014-10,Jowar,Nasik,Lasalgaon,17.37,17.37,17.37,0.0,1.3,17.37,17.37,17.37,0.0,1.0,-1.0,-0.0,19.92
2014-09,2014-10,Jowar,Aurangabad,Lasur Station,14.93,11.86,19.14,0.4876,272.0,14.93,14.93,14.93,0.0,1.0,-1.0,-0.0,14.38
2014-09,2014-10,Jowar,Latur,Latur,12.12,11.83,12.39,0.0462,39.6,12.12,12.12,12.12,0.0,1.0,-1.0,-0.0,18.9
2014-09,2014-10,Jowar,Nanded,Loha,13.06,13.06,32.86,1.5161,11.1,13.06,13.06,13.06,0.0,1.0,-1.0,-0.0,14.01
2014-09,2014-10,Jowar,Satara,Lonand,16.38,15.5,17.38,0.1148,26.9,16.38,16.38,16.38,0.0,1.0,-1.0,-0.0,17.5
2014-09,2014-10,Jowar,Buldhana,Lonar,13.0,12.1,13.9,0.1385,169.8,13.0,13.0,13.0,0.0,1.0,-1.0,-0.0,11.95
2014-09,2014-10,Jowar,Beed,Majalgaon,16.55,11.26,24.7,0.8121,224.3,16.55,16.55,16.55,0.0,1.0,-1.0,-0.0,19.06
2014-09,2014-10,Jowar,Nasik,Malegaon,17.4,15.65,18.88,0.1856,7.2,17.4,17.4,17.4,0.0,1.0,-1.0,-0.0,19.06
2014-09,2014-10,Jowar,Buldhana,Malkapur,12.02,11.77,12.92,0.0957,113.0,12.02,12.02,12.02,0.0,1.0,-1.0,-0.0,11.35
2014-09,2014-10,Jowar,Solapur,Mangalwedha,20.5,16.32,23.96,0.3727,215.4,20.5,20.5,20.5,0.0,1.0,-1.0,-0.0,20.3
2014-09,2014-11,Jowar,Wasim,Mangrulpeer,13.25,13.25,13.25,0.0,0.5,13.25,13.25,13.25,0.0,1.0,-1.0,-0.0,14.82
2014-09,2014-10,Jowar,Jalna,Mantha,15.47,11.33,18.67,0.4745,35.2,15.47,15.47,15.47,0.0,1.0,-1.0,-0.0,14.93
2014-09,2014-10,Jowar,Solapur,Mohol,21.53,15.6,23.57,0.3702,31.3,21.53,21.53,21.53,0.0,1.0,-1.0,-0.0,19.67
2014-09,2014-10,Jowar,Amaravathi,Morshi,14.5,14.0,15.0,0.069,4.9,14.5,14.5,14.5,0.0,1.0,-1.0,-0.0,14.5
2014-09,2014-11,Jowar,Osmanabad,Murum,19.0,19.0,19.0,0.0,0.1,19.0,19.0,19.0,0.0,1.0,-1.0,-0.0,21.37
2014-09,2014-11,Jowar,Nanded,Naigaon,10.0,10.0,10.5,0.05,0.2,10.0,10.0,10.0,0.0,1.0,-1.0,-0.0,12.0
2014-09,2014-11,Jowar,Nanded,Nanded,12.3,12.3,12.5,0.0163,2.6,12.3,12.3,12.3,0.0,1.0,-1.0,-0.0,16.25
2014-09,2014-10,Jowar,Buldhana,Nandura,12.4,11.27,13.3,0.1637,51.7,12.4,12.4,12.4,0.0,1.0,-1.0,-0.0,12.17
2014-09,2014-10,Jowar,Nandurbar,Nandurbar,15.24,13.49,16.55,0.2008,87.3,15.24,15.24,15.24,0.0,1.0,-1.0,-0.0,14.19
2014-09,2014-10,Jowar,Ahmadnagar,Newasa,15.4,15.4,15.4,0.0,0.6,15.4,15.4,15.4,0.0,1.0,-1.0,-0.0,15.5
2014-09,2014-10,Jowar,Latur,Nilanga,11.04,10.78,11.41,0.0571,18.0,11.04,11.04,11.04,0.0,1.0,-1.0,-0.0,10.13
2014-09,2014-11,Jowar,Solapur,Pandharpur,18.64,18.64,20.35,0.0917,2.3,18.64,18.64,18.64,0.0,1.0,-1.0,-0.0,23.33
2014-09,2014-10,Jowar,Beed,Parli-Vaijnath,12.35,11.9,12.85,0.0769,84.4,12.35,12.35,12.35,0.0,1.0,-1.0,-0.0,15.22
2014-09,2014-11,Jowar,Jalna,Partur,18.6,14.94,28.14,0.7097,98.3,18.6,18.6,18.6,0.0,1.0,-1.0,-0.0,13.9
2014-09,2014-10,Jowar,Ahmadnagar,Pathardi,14.43,12.62,16.68,0.2814,529.5,14.43,14.43,14.43,0.0,1.0,-1.0,-0.0,16.81
2014-09,2014-10,Jowar,Parbhani,Pathari,16.0,15.0,24.0,0.5625,1.0,16.0,16.0,16.0,0.0,1.0,-1.0,-0.0,19.76
2014-09,2014-11,Jowar,Akola,Patur,15.9,14.25,18.15,0.2453,2.8,15.9,15.9,15.9,0.0,1.0,-1.0,-0.0,15.0
2014-09,2014-10,Jowar,Satara,Phaltan,19.0,15.65,24.32,0.4563,169.8,19.0,19.0,19.0,0.0,1.0,-1.0,-0.0,20.33
2014-09,2014-10,Jowar,Pune,Pune,27.02,25.35,28.72,0.1247,733.6,27.02,27.02,27.02,0.0,1.0,-1.0,-0.0,26.84
2014-09,2014-10,Jowar,Parbhani,Purna,11.15,11.15,12.16,0.0906,1.6,11.15,11.15,11.15,0.0,1.0,-1.0,-0.0,10.77
2014-09,2014-10,Jowar,Ahmadnagar,Rahata,13.82,13.81,14.4,0.0427,4.5,13.82,13.82,13.82,0.0,1.0,-1.0,-0.0,12.63
2014-09,2014-10,Jowar,Ahmadnagar,Rahuri,16.33,15.9,16.55,0.0398,2.1,16.33,16.33,16.33,0.0,1.0,-1.0,-0.0,15.25
2014-09,2014-10,Jowar,Ahmadnagar,Rahuri-Vambori,17.73,16.11,19.35,0.1827,17.8,17.73,17.73,17.73,0.0,1.0,-1.0,-0.0,17.49
2014-09,2014-10,Jowar,Jalgaon,Raver,15.2,12.3,15.42,0.2053,8.0,15.2,15.2,15.2,0.0,1.0,-1.0,-0.0,13.35
2014-09,2014-10,Jowar,Parbhani,Sailu,11.59,11.56,14.16,0.2243,49.9,11.59,11.59,11.59,0.0,1.0,-1.0,-0.0,11.15
2014-09,2014-10,Jowar,Sangli,Sangali,22.24,16.2,28.27,0.5427,895.1,22.24,22.24,22.24,0.0,1.0,-1.0,-0.0,21.56
2014-09,2014-10,Jowar,Ahmadnagar,Sangamner,16.75,15.33,18.5,0.1893,7.1,16.75,16.75,16.75,0.0,1.0,-1.0,-0.0,16.63
2014-09,2014-10,Jowar,Nasik,Satana,25.01,25.01,25.01,0.0,0.9,25.01,25.01,25.01,0.0,1.0,-1.0,-0.0,21.6
2014-09,2014-10,Jowar,Nandurbar,Shahada,17.87,17.62,18.63,0.0565,4.7,17.87,17.87,17.87,0.0,1.0,-1.0,-0.0,16.57
2014-09,2014-10,Jowar,Buldhana,Shegaon,11.77,11.32,12.05,0.062,27.2,11.77,11.77,11.77,0.0,1.0,-1.0,-0.0,10.38
2014-09,2014-10,Jowar,Ahmadnagar,Shevgaon,16.37,14.74,18.15,0.2083,124.8,16.37,16.37,16.37,0.0,1.0,-1.0,-0.0,16.54
2014-09,2014-10,Jowar,Ahmadnagar,Shevgaon-Bodhegaon,16.97,15.41,18.39,0.1756,85.5,16.97,16.97,16.97,0.0,1.0,-1.0,-0.0,15.96
2014-09,2014-10,Jowar,Dhule,Shirpur,16.23,13.58,18.14,0.281,114.4,16.23,16.23,16.23,0.0,1.0,-1.0,-0.0,15.56
2014-09,2014-10,Jowar,Pune,Shirur,16.33,15.49,16.87,0.0845,18.4,16.33,16.33,16.33,0.0,1.0,-1.0,-0.0,16.23
2014-09,2014-10,Jowar,Ahmadnagar,Shrirampur,18.01,15.44,19.18,0.2077,53.3,18.01,18.01,18.01,0.0,1.0,-1.0,-0.0,16.12
2014-09,2014-10,Jowar,Nasik,Sinner,16.09,13.6,18.65,0.3139,16.3,16.09,16.09,16.09,0.0,1.0,-1.0,-0.0,17.3
2014-09,2014-10,Jowar,Solapur,Solapur,21.19,16.81,25.26,0.3988,319.0,21.19,21.19,21.19,0.0,1.0,-1.0,-0.0,20.74
2014-09,2014-10,Jowar,Parbhani,Sonpeth,16.73,16.48,19.68,0.1913,2.6,16.73,16.73,16.73,0.0,1.0,-1.0,-0.0,18.1
