date,crop,district,apmc,modal_price_kg,min_price_kg,max_price_kg,arrival_mt,year,month_name
2014-09,Bajra,Solapur,Solapur,14.0,14.0,14.25,2.3,2014,September
2014-09,Bajra,Osmanabad,Umarga,10.65,10.65,10.75,0.7,2014,September
2014-09,Bajra,Satara,Vaduj,14.75,14.0,15.63,9.6,2014,September
2014-09,Bajra,Aurangabad,Vaijapur,14.31,12.75,15.32,38.5,2014,September
2014-09,Bajra,Nasik,Yeola,13.53,12.72,14.43,43.7,2014,September
2014-09,Cotton,Sangli,Atpadi,43.67,41.0,46.33,10.9,2014,September
2014-09,Jowar,Gadchiroli,Aheri,10.0,10.0,10.0,1.0,2014,September
2014-09,Jowar,Ahmadnagar,Ahmednagar,21.0,16.0,26.01,4.2,2014,September
2014-09,Jowar,Hingoli,Akhadabalapur,15.5,15.0,16.0,3.9,2014,September
2014-09,Jowar,Solapur,Akluj,16.38,15.88,18.5,1.7,2014,September
2014-09,Jowar,Jalgaon,Amalner,14.52,13.43,15.61,91.5,2014,September
2014-09,Jowar,Amaravathi,Amarawati,16.13,14.75,17.88,1.6,2014,September
2014-09,Jowar,Beed,Ambejogai,16.82,15.07,19.17,12.3,2014,September
2014-09,Jowar,Amaravathi,Anajngaon Surji,14.37,13.27,15.31,13.2,2014,September
2014-09,Jowar,Sangli,Atpadi,19.0,17.0,21.0,26.8,2014,September
2014-09,Jowar,Latur,Ausa,13.72,12.77,15.14,93.4,2014,September
2014-09,Jowar,Pune,Baramati,20.88,18.0,23.9,114.6,2014,September
2014-09,Jowar,Solapur,Barshi,18.86,13.58,25.82,1727.2,2014,September
2014-09,Jowar,Solapur,Barshi-Vairag,17.26,11.63,20.61,167.8,2014,September
2014-09,Jowar,Hingoli,Basmat,15.0,15.0,15.0,0.5,2014,September
2014-09,Jowar,Beed,Beed,20.58,16.91,22.7,185.3,2014,September
2014-09,Jowar,Nanded,Bhokar,14.6,12.68,15.72,71.9,2014,September
2014-09,Jowar,Jalna,Bhokardan,12.26,12.19,12.37,28.1,2014,September
2014-09,Jowar,Jalna,Bhokardan-Pimpalgaon Renu,12.38,12.3,12.46,7.5,2014,September
2014-09,Jowar,Jalgaon,Bhusaval,11.27,10.88,11.48,10.3,2014,September
2014-09,Jowar,Jalgaon,Chalisgaon,14.02,11.4,14.86,202.2,2014,September
2014-09,Jowar,Buldhana,Chikhali,13.7,12.84,14.55,46.4,2014,September
2014-09,Jowar,Jalgaon,Chopda,15.7,13.82,16.29,20.0,2014,September
2014-09,Jowar,Nasik,Devala,24.94,22.97,25.29,1.4,2014,September
2014-09,Jowar,Dhule,Dhule,16.6,14.33,18.01,220.0,2014,September
2014-09,Jowar,Dhule,Dondaicha,16.78,14.74,17.66,35.5,2014,September
2014-09,Jowar,Solapur,Dudhani,14.19,12.28,17.87,286.1,2014,September
2014-09,Jowar,Aurangabad,Gangapur,16.14,14.2,18.06,56.2,2014,September
2014-09,Jowar,Beed,Gevrai,16.62,14.6,20.26,244.0,2014,September
2014-09,Jowar,Jalna,Ghansawangi,12.75,11.0,15.0,9.8,2014,September
2014-09,Jowar,Nanded,Hadgaon,16.0,16.0,17.67,4.7,2014,September
2014-09,Jowar,Jalgaon,Jalgaon,15.48,15.04,15.92,97.2,2014,September
2014-09,Jowar,Buldhana,Jalgaon Jamod,11.5,11.25,11.75,0.4,2014,September
2014-09,Jowar,Buldhana,Jalgaon Jamod-Aasalgaon,11.38,10.92,11.83,15.5,2014,September
2014-09,Jowar,Jalna,Jalna,18.27,11.47,26.1,2647.1,2014,September
2014-09,Jowar,Ahmadnagar,Jamkhed,24.64,18.67,30.62,1228.8,2014,September
2014-09,Jowar,Parbhani,Jintur,13.38,11.53,16.44,69.1,2014,September
2014-09,Jowar,Parbhani,Jintur-Bori,12.05,11.87,12.34,3.6,2014,September
2014-09,Jowar,Beed,Kada,22.23,15.36,27.61,146.2,2014,September
2014-09,Jowar,Beed,Kada (Ashti),24.33,21.67,27.33,17.6,2014,September
2014-09,Jowar,Osmanabad,Kalamb (Os),16.37,14.23,18.5,484.4,2014,September
2014-09,Jowar,Aurangabad,Kannad,14.68,13.51,15.4,6.2,2014,September
2014-09,Jowar,Wasim,Karanja,16.19,15.12,16.19,10.9,2014,September
2014-09,Jowar,Solapur,Karmala,26.0,16.23,32.22,487.0,2014,September
2014-09,Jowar,Beed,Kej,17.9,17.09,19.14,28.4,2014,September
2014-09,Jowar,Buldhana,Khamgaon,11.74,11.17,12.32,129.2,2014,September
2014-09,Jowar,Beed,Kille Dharur,17.45,15.66,20.15,43.5,2014,September
2014-09,Jowar,Kolhapur,Kolhapur-Laxmipuri,22.25,16.25,38.44,171.0,2014,September
2014-09,Jowar,Ahmadnagar,Kopargaon,14.16,13.96,14.16,3.8,2014,September
2014-09,Jowar,Satara,Koregaon,17.19,16.0,18.38,3.1,2014,September
2014-09,Jowar,Solapur,Kurdwadi,19.81,13.53,26.1,45.4,2014,September
2014-09,Jowar,Nasik,Lasalgaon,17.37,17.37,17.37,1.3,2014,September
2014-09,Jowar,Aurangabad,Lasur Station,14.93,11.86,19.14,272.0,2014,September
2014-09,Jowar,Latur,Latur,12.12,11.83,12.39,39.6,2014,September
2014-09,Jowar,Nanded,Loha,13.06,13.06,32.86,11.1,2014,September
2014-09,Jowar,Satara,Lonand,16.38,15.5,17.38,26.9,2014,September
2014-09,Jowar,Buldhana,Lonar,13.0,12.1,13.9,169.8,2014,September
2014-09,Jowar,Beed,Majalgaon,16.55,11.26,24.7,224.3,2014,September
2014-09,Jowar,Nasik,Malegaon,17.4,15.65,18.88,7.2,2014,September
2014-09,Jowar,Buldhana,Malkapur,12.02,11.77,12.92,113.0,2014,September
2014-09,Jowar,Solapur,Mangalwedha,20.5,16.32,23.96,215.4,2014,September
2014-09,Jowar,Wasim,Mangrulpeer,13.25,13.25,13.25,0.5,2014,September
2014-09,Jowar,Jalna,Mantha,15.47,11.33,18.67,35.2,2014,September
2014-09,Jowar,Solapur,Mohol,21.53,15.6,23.57,31.3,2014,September
2014-09,Jowar,Amaravathi,Morshi,14.5,14.0,15.0,4.9,2014,September
2014-09,Jowar,Osmanabad,Murum,19.0,19.0,19.0,0.1,2014,September
2014-09,Jowar,Nanded,Naigaon,10.0,10.0,10.5,0.2,2014,September
2014-09,Jowar,Nanded,Nanded,12.3,12.3,12.5,2.6,2014,September
2014-09,Jowar,Buldhana,Nandura,12.4,11.27,13.3,51.7,2014,September
2014-09,Jowar,Nandurbar,Nandurbar,15.24,13.49,16.55,87.3,2014,September
2014-09,Jowar,Ahmadnagar,Newasa,15.4,15.4,15.4,0.6,2014,September
2014-09,Jowar,Latur,Nilanga,11.04,10.78,11.41,18.0,2014,September
2014-09,Jowar,Solapur,Pandharpur,18.64,18.64,20.35,2.3,2014,September
2014-09,Jowar,Beed,Parli-Vaijnath,12.35,11.9,12.85,84.4,2014,September
2014-09,Jowar,Jalna,Partur,18.6,14.94,28.14,98.3,2014,September
2014-09,Jowar,Ahmadnagar,Pathardi,14.43,12.62,16.68,529.5,2014,September
2014-09,Jowar,Parbhani,Pathari,16.0,15.0,24.0,1.0,2014,September
2014-09,Jowar,Akola,Patur,15.9,14.25,18.15,2.8,2014,September
2014-09,Jowar,Satara,Phaltan,19.0,15.65,24.32,169.8,2014,September
2014-09,Jowar,Pune,Pune,27.02,25.35,28.72,733.6,2014,September
2014-09,Jowar,Parbhani,Purna,11.15,11.15,12.16,1.6,2014,September
2014-09,Jowar,Ahmadnagar,Rahata,13.82,13.81,14.4,4.5,2014,September
2014-09,Jowar,Ahmadnagar,Rahuri,16.33,15.9,16.55,2.1,2014,September
2014-09,Jowar,Ahmadnagar,Rahuri-Vambori,17.73,16.11,19.35,17.8,2014,September
2014-09,Jowar,Jalgaon,Raver,15.2,12.3,15.42,8.0,2014,September
2014-09,Jowar,Parbhani,Sailu,11.59,11.56,14.16,49.9,2014,September
2014-09,Jowar,Sangli,Sangali,22.24,16.2,28.27,895.1,2014,September
2014-09,Jowar,Ahmadnagar,Sangamner,16.75,15.33,18.5,7.1,2014,September
2014-09,Jowar,Nasik,Satana,25.01,25.01,25.01,0.9,2014,September
2014-09,Jowar,Nandurbar,Shahada,17.87,17.62,18.63,4.7,2014,September
2014-09,Jowar,Buldhana,Shegaon,11.77,11.32,12.05,27.2,2014,September
2014-09,Jowar,Ahmadnagar,Shevgaon,16.37,14.74,18.15,124.8,2014,September
2014-09,Jowar,Ahmadnagar,Shevgaon-Bodhegaon,16.97,15.41,18.39,85.5,2014,September
2014-09,Jowar,Dhule,Shirpur,16.23,13.58,18.14,114.4,2014,September
2014-09,Jowar,Pune,Shirur,16.33,15.49,16.87,18.4,2014,September
2014-09,Jowar,Ahmadnagar,Shrirampur,18.01,15.44,19.18,53.3,2014,September
2014-09,Jowar,Nasik,Sinner,16.09,13.6,18.65,16.3,2014,September
2014-09,Jowar,Solapur,Solapur,21.19,16.81,25.26,319.0,2014,September
2014-09,Jowar,Parbhani,Sonpeth,16.73,16.48,19.68,2.6,2014,September
2014-09,Jowar,Parbhani,Tadkalas,15.2,15.2,15.2,0.2,2014,September
2014-09,Jowar,Akola,Telhara,9.95,9.44,10.62,16.5,2014,September
2014-09,Jowar,Osmanabad,Tuljapur,11.9,11.55,12.26,73.6,2014,September
2014-09,Jowar,Latur,Udgir,10.15,9.5,10.8,1.1,2014,September
2014-09,Jowar,Nagpur,Umared,17.75,17.75,17.75,0.4,2014,September
2014-09,Jowar,Osmanabad,Umarga,13.24,12.54,13.36,84.5,2014,September
2014-09,Jowar,Satara,Vaduj,22.19,21.63,22.75,208.0,2014,September
2014-09,Jowar,Aurangabad,Vaijapur,15.03,12.5,16.09,5.4,2014,September
2014-09,Jowar,Wasim,Washim,12.13,11.33,12.81,10.1,2014,September
2014-09,Onion,Solapur,Akluj,16.21,12.0,19.36,252.1,2014,September
2014-09,Onion,Ahmadnagar,Akole,12.5,2.0,22.22,1336.6,2014,September
2014-09,Onion,Aurangabad,Aurangabad,8.64,3.16,14.12,486.9,2014,September
2014-09,Onion,Pune,Baramati,17.5,8.5,21.0,45.2,2014,September
2014-09,Onion,Solapur,Barshi,12.5,1.5,17.76,132.1,2014,September
2014-09,Onion,Thane,Bhivandi,20.24,15.26,25.19,6.9,2014,September
2014-09,Onion,Chandrapur,Chandrapur-Ganjwad,18.09,15.73,21.27,290.3,2014,September
2014-09,Onion,Nasik,Chandvad,12.09,1.77,16.18,5672.0,2014,September
2014-09,Onion,Nasik,Devala,13.25,5.97,15.85,7291.4,2014,September
2014-09,Onion,Dhule,Dhule,11.74,2.14,14.18,5864.4,2014,September
2014-09,Onion,Nasik,Dindori,13.88,11.0,19.38,3044.1,2014,September
2014-09,Onion,Nasik,Dindori-Vani,13.08,9.42,17.91,5865.0,2014,September
2014-09,Onion,Aurangabad,Gangapur,9.83,4.28,20.11,395.1,2014,September
2014-09,Onion,Jalgaon,Jalgaon,11.35,7.38,14.5,335.0,2014,September
2014-09,Onion,Ahmadnagar,Jamkhed,9.86,2.17,17.56,61.6,2014,September
2014-09,Onion,Pune,Junnar,14.07,10.29,17.93,3244.1,2014,September
2014-09,Onion,Pune,Junnar (Alephata),17.75,13.75,21.53,2063.0,2014,September
2014-09,Onion,Beed,Kada,18.0,4.67,20.75,105.0,2014,September
2014-09,Onion,Thane,Kalyan,10.38,8.5,12.25,1.2,2014,September
2014-09,Onion,Nagpur,Kamthi,16.38,11.33,21.43,6.1,2014,September
2014-09,Onion,Satara,Karad,17.58,13.75,21.5,132.9,2014,September
2014-09,Onion,Kolhapur,Kolhapur,14.91,5.0,21.73,5810.3,2014,September
2014-09,Onion,Ahmadnagar,Kopargaon,14.25,3.83,19.79,3039.1,2014,September
2014-09,Onion,Satara,Koregaon,13.67,10.0,17.33,11.3,2014,September
2014-09,Onion,Solapur,Kurdwadi,11.37,5.67,17.08,7.4,2014,September
2014-09,Onion,Nasik,Lasalgaon,13.6,3.23,19.43,30562.0,2014,September
2014-09,Onion,Aurangabad,Lasur Station,12.08,1.71,19.17,2664.1,2014,September
2014-09,Onion,Satara,Lonand,13.72,7.22,16.13,322.7,2014,September
2014-09,Onion,Nasik,Malegaon,11.06,3.89,13.64,9824.6,2014,September
2014-09,Onion,Buldhana,Malkapur,11.98,7.69,14.9,73.6,2014,September
2014-09,Onion,Pune,Manchar,12.0,4.0,20.0,246.2,2014,September
2014-09,Onion,Nasik,Manmad,13.51,3.56,17.08,11433.7,2014,September
2014-09,Onion,Mumbai,Mumbai,15.52,12.13,18.92,19994.0,2014,September
2014-09,Onion,Nagpur,Nagpur,14.17,10.55,17.79,8168.8,2014,September
2014-09,Onion,Nasik,Nandgaon,13.38,5.25,17.87,5049.0,2014,September
2014-09,Onion,Nasik,Nashik,13.81,2.38,17.16,2266.6,2014,September
2014-09,Onion,Ahmadnagar,Newasa-Ghodegaon,17.69,2.31,21.31,18561.1,2014,September
2014-09,Onion,Solapur,Pandharpur,16.97,4.24,20.77,106.6,2014,September
2014-09,Onion,Ahmadnagar,Parner,11.84,4.5,19.18,1832.4,2014,September
2014-09,Onion,Ahmadnagar,Pathardi,13.08,2.08,17.23,337.0,2014,September
2014-09,Onion,Satara,Phaltan,13.0,4.0,17.92,801.3,2014,September
2014-09,Onion,Nasik,Pimpalgaon (B)-Saykheda,11.88,4.97,16.35,10392.9,2014,September
2014-09,Onion,Nasik,Pimpalgaon Basawant,12.95,6.58,19.24,30868.4,2014,September
2014-09,Onion,Pune,Pune,13.69,7.38,19.79,22926.7,2014,September
2014-09,Onion,Pune,Pune-Pimpri,14.26,13.43,15.09,9.0,2014,September
2014-09,Onion,Ahmadnagar,Rahata,14.05,4.4,20.7,7388.3,2014,September
2014-09,Onion,Ahmadnagar,Rahuri,11.48,1.69,20.85,18029.1,2014,September
2014-09,Onion,Ahmadnagar,Rahuri-Vambori,10.64,1.36,19.91,4797.2,2014,September
2014-09,Onion,Nagpur,Ramtek,0.2,0.17,0.23,185.9,2014,September
2014-09,Onion,Ahmadnagar,Sangamner,13.7,5.0,22.39,3191.0,2014,September
2014-09,Onion,Nasik,Satana,14.95,9.95,18.73,3522.0,2014,September
2014-09,Onion,Satara,Satara,15.69,13.5,17.88,215.9,2014,September
2014-09,Onion,Dhule,Shirpur,11.24,2.74,12.86,191.4,2014,September
2014-09,Onion,Ahmadnagar,Shrirampur,14.96,2.58,20.0,11032.6,2014,September
2014-09,Onion,Nasik,Sinner,11.67,1.18,17.41,11285.7,2014,September
2014-09,Onion,Solapur,Solapur,11.92,1.03,23.84,11933.0,2014,September
2014-09,Onion,Kolhapur,Vadgaon Peth,20.0,15.0,25.0,14.0,2014,September
2014-09,Onion,Aurangabad,Vaijapur,10.98,2.11,21.42,3569.1,2014,September
2014-09,Onion,Thane,Vasai,20.0,18.0,22.0,12.2,2014,September
2014-09,Onion,Sangli,Vita,15.0,12.0,17.0,3.5,2014,September
2014-09,Onion,Nasik,Yeola,12.08,2.7,17.32,13459.4,2014,September
2014-09,Rice,Gondiya,Aamgaon,17.44,16.45,18.43,277.9,2014,September
2014-09,Rice,Amaravathi,Achalpur,17.25,17.0,17.5,0.5,2014,September
2014-09,Rice,Gadchiroli,Aheri,15.75,15.75,15.75,4.0,2014,September
2014-09,Rice,Ahmadnagar,Akole,16.81,14.5,19.0,11.9,2014,September
2014-09,Rice,Raigad,Alibag,16.03,15.0,17.0,87.0,2014,September
2014-09,Rice,Gondiya,Arjuni Morgaon,19.59,19.11,20.05,339.4,2014,September
2014-09,Rice,Gadchiroli,Armori,20.73,20.26,21.09,243.2,2014,September
2014-09,Rice,Gadchiroli,Armori-Desaiganj,18.71,17.0,19.53,3342.4,2014,September
2014-09,Rice,Latur,Ausa,9.86,8.51,11.06,1.1,2014,September
2014-09,Rice,Solapur,Barshi,16.32,14.94,16.63,25.7,2014,September
2014-09,Rice,Bhandara,Bhandara,36.13,35.27,36.97,447.0,2014,September
2014-09,Rice,Thane,Bhivandi,19.5,14.13,24.08,84.9,2014,September
2014-09,Rice,Nagpur,Bhiwapur,27.27,25.83,28.68,52.5,2014,September
2014-09,Rice,Chandrapur,Brahmpuri,27.08,26.6,27.55,237.8,2014,September
2014-09,Rice,Chandrapur,Chimur,21.26,19.96,21.71,52.5,2014,September
2014-09,Rice,Gadchiroli,Gadchiroli,21.51,20.4,22.1,675.2,2014,September
2014-09,Rice,Nasik,Ghoti,31.5615,31.5615,31.5615,19.5,2014,September
2014-09,Rice,Chandrapur,Gondpimpri,20.81,20.48,21.21,43.1,2014,September
2014-09,Rice,Raigad,Karjat (Raigad),26.0995,17.9163,35.5233,452.0,2014,September
2014-09,Rice,Kolhapur,Kolhapur-Laxmipuri,23.9122,17.76,37.2051,512.5,2014,September
2014-09,Rice,Raigad,Mangaon(Bhadav),27.4689,16.0986,32.2559,10.6,2014,September
2014-09,Rice,Chandrapur,Mul,23.97,22.07,25.84,2369.3,2014,September
2014-09,Rice,Mumbai,Mumbai,79.07,58.0,99.24,39242.8,2014,September
2014-09,Rice,Thane,Murbad,16.0,16.0,18.67,15.4,2014,September
2014-09,Rice,Chandrapur,Nagbhid,23.78,22.57,25.0,1590.2,2014,September
2014-09,Rice,Nagpur,Nagpur,36.92,35.57,38.28,388.4,2014,September
2014-09,Rice,Nandurbar,Nandurbar,18.88,18.88,18.88,2.0,2014,September
2014-09,Rice,Bhandara,Pavani,23.77,22.9,24.16,91.3,2014,September
2014-09,Rice,Raigad,Pen,21.2859,19.7447,27.3518,10.2,2014,September
2014-09,Rice,Pune,Pune,58.91,52.45,65.28,2976.4,2014,September
2014-09,Rice,Raigad,Roha,13.5,13.0,14.0,2.5,2014,September
2014-09,Rice,Sangli,Sangali,37.0,18.0,56.0,310.5,2014,September
2014-09,Rice,Nasik,Satana,15.41,15.41,15.41,0.6,2014,September
2014-09,Rice,Chandrapur,Savali,25.5,25.0,26.0,283.8,2014,September
2014-09,Rice,Thane,Shahapur,14.88,14.15,15.21,4.9,2014,September
2014-09,Rice,Chandrapur,Sindevahi,26.28,25.78,26.78,167.3,2014,September
2014-09,Rice,Nasik,Sinner,14.76,14.76,14.76,0.3,2014,September
2014-09,Rice,Solapur,Solapur,38.34,21.6,57.32,2447.9,2014,September
2014-09,Rice,Gondiya,Tiroda,21.02,20.35,21.72,911.1,2014,September
2014-09,Rice,Osmanabad,Tuljapur,8.31,8.25,8.37,2.8,2014,September
2014-09,Rice,Bhandara,Tumsar,21.4277,20.706,22.1572,1556.9,2014,September
2014-09,Rice,Nagpur,Umared,32.31,20.0,44.63,401.7,2014,September
2014-09,Rice,Osmanabad,Umarga,11.63,8.76,12.25,0.6,2014,September
2014-09,Rice,Thane,Vasai,21.2542,15.8644,35.2881,59.0,2014,September
2014-09,Soybean,Yewatmal,Aarni,32.7,30.0,34.5,16.5,2014,September
2014-09,Soybean,Amaravathi,Achalpur,29.9,27.0,32.79,27.0,2014,September
2014-09,Soybean,Hingoli,Akhadabalapur,36.77,36.27,37.55,31.1,2014,September
2014-09,Soybean,Ahmadnagar,Akole,31.0,30.0,32.0,3.5,2014,September
2014-09,Soybean,Amaravathi,Amarawati,31.03,30.25,32.43,1.6,2014,September
2014-09,Soybean,Beed,Ambejogai,32.27,30.05,33.92,120.9,2014,September
2014-09,Soybean,Amaravathi,Anajngaon Surji,31.11,30.22,32.11,54.0,2014,September
2014-09,Soybean,Latur,Ausa,32.99,31.67,33.42,23.0,2014,September
2014-09,Soybean,Pune,Baramati,31.5,20.0,31.5,1.0,2014,September
2014-09,Soybean,Solapur,Barshi-Vairag,31.85,30.67,31.93,5.5,2014,September
2014-09,Soybean,Beed,Beed,32.25,32.0,32.35,2.3,2014,September
2014-09,Soybean,Bhandara,Bhandara,35.4,35.0,36.5,6.0,2014,September
2014-09,Soybean,Nanded,Bhokar,35.19,34.55,35.86,4.4,2014,September
2014-09,Soybean,Buldhana,Buldhana,31.33,29.76,33.28,15.0,2014,September
2014-09,Soybean,Jalgaon,Chalisgaon,30.33,25.0,32.17,2.7,2014,September
2014-09,Soybean,Buldhana,Chikhali,31.43,31.43,47.61,127.5,2014,September
2014-09,Soybean,Jalgaon,Chopda,30.0,27.33,30.0,0.5,2014,September
2014-09,Soybean,Amaravathi,Daryapur,30.62,25.0,31.0,9.6,2014,September
2014-09,Soybean,Amaravathi,Dhamangaon-Rly,32.5,30.72,35.12,142.2,2014,September
2014-09,Soybean,Dhule,Dhule,28.84,25.36,29.56,13.5,2014,September
2014-09,Soybean,Yewatmal,Digras,11.7,11.7,31.76,6.3,2014,September
2014-09,Soybean,Aurangabad,Gangapur,30.0,29.5,33.2,0.1,2014,September
2014-09,Soybean,Beed,Gevrai,29.18,27.77,57.27,1.6,2014,September
2014-09,Soybean,Nanded,Hadgaon,36.0,36.0,37.5,4.8,2014,September
2014-09,Soybean,Wardha,Hinganghat,31.81,28.78,34.84,1351.9,2014,September
2014-09,Soybean,Hingoli,Hingoli,32.87,31.86,33.89,280.4,2014,September
2014-09,Soybean,Buldhana,Jalgaon Jamod,31.5,31.0,32.0,1.9,2014,September
2014-09,Soybean,Buldhana,Jalgaon Jamod-Aasalgaon,31.86,30.57,33.14,15.8,2014,September
2014-09,Soybean,Jalna,Jalna,31.53,30.41,31.99,64.4,2014,September
2014-09,Soybean,Ahmadnagar,Jamkhed,30.8,28.8,32.8,15.5,2014,September
2014-09,Soybean,Parbhani,Jintur,31.59,31.04,31.89,12.6,2014,September
2014-09,Soybean,Parbhani,Jintur-Bori,31.58,29.87,32.17,1.3,2014,September
2014-09,Soybean,Beed,Kada,30.13,29.63,30.3,2.5,2014,September
2014-09,Soybean,Beed,Kada (Ashti),27.01,27.01,27.01,0.1,2014,September
2014-09,Soybean,Osmanabad,Kalamb (Os),32.65,30.41,33.2,24.6,2014,September
2014-09,Soybean,Hingoli,Kalamnuri,40.0,40.0,40.0,10.0,2014,September
2014-09,Soybean,Wasim,Karanja,31.69,29.44,33.53,844.5,2014,September
2014-09,Soybean,Buldhana,Khamgaon,32.0,29.9,34.1,1605.9,2014,September
2014-09,Soybean,Beed,Kille Dharur,31.89,30.24,32.78,8.0,2014,September
2014-09,Soybean,Ahmadnagar,Kopargaon,31.38,29.54,32.47,21.6,2014,September
